naselje;grad_opcina;zupanija;stanovnistvo
Ćusi;Cerovlje;Istarska županija;58
Čabar;Čabar;Primorsko-goranska županija;325
Čabdin;Jastrebarsko;Zagrebačka županija;112
Čabraji;Križevci;Koprivničko-križevačka županija;126
Čabrunići;Svetvinčenat;Istarska županija;152
Čaglin;Čaglin;Požeško-slavonska županija;478
Čaire;Kutina;Sisačko-moslavačka županija;19
Čajkovci;Vrpolje;Brodsko-posavska županija;494
Čajkovica;Dubrovnik;Dubrovačko-neretvanska županija;192
Čajkovići;Dubrovnik;Dubrovačko-neretvanska županija;23
Čakanec;Kravarsko;Zagrebačka županija;47
Čakovci;Tompojevci;Vukovarsko-srijemska županija;264
Čakovec;Čakovec;Međimurska županija;15078
Čalinec;Maruševec;Varaždinska županija;513
Čamagajevci;Marijanci;Osječko-baranjska županija;178
Čambarelići;Kršan;Istarska županija;145
Čamerovac;Slunj;Karlovačka županija;34
Čanak;Plitvička Jezera;Ličko-senjska županija;30
Čanjevo;Visoko;Varaždinska županija;150
Čapljani;Sunja;Sisačko-moslavačka županija;28
Čaporice;Trilj;Splitsko-dalmatinska županija;328
Čaprginci;Okučani;Brodsko-posavska županija;2
Čara;Korčula;Dubrovačko-neretvanska županija;595
Čatrnja;Krnjak;Karlovačka županija;85
Čatrnja;Rakovica;Karlovačka županija;227
Čavle;Čavle;Primorsko-goranska županija;1269
Čavlovica;Dvor;Sisačko-moslavačka županija;2
Čavoglave;Ružić;Šibensko-kninska županija;147
Čazma;Čazma;Bjelovarsko-bilogorska županija;2417
Čačinci;Čačinci;Virovitičko-podravska županija;1719
Čačvina;Trilj;Splitsko-dalmatinska županija;59
Čađavac;Velika Pisanica;Bjelovarsko-bilogorska županija;41
Čađavica;Čađavica;Virovitičko-podravska županija;569
Čađavički Lug;Čađavica;Virovitičko-podravska županija;210
Čedanj;Delnice;Primorsko-goranska županija;3
Čeglje;Jastrebarsko;Zagrebačka županija;353
Čehići;Sveti Lovreč;Istarska županija;12
Čehovec;Prelog;Međimurska županija;634
Čelikovići;Sibinj;Brodsko-posavska županija;57
Čelina;Omiš;Splitsko-dalmatinska županija;206
Čelopeci;Župa dubrovačka;Dubrovačko-neretvanska županija;497
Čemernica;Virovitica;Virovitičko-podravska županija;645
Čemernica Lonjska;Kloštar Ivanić;Zagrebačka županija;217
Čeminac;Čeminac;Osječko-baranjska županija;865
Čenkovo;Levanjska Varoš;Osječko-baranjska županija;1
Čepelovac;Đurđevac;Koprivničko-križevačka županija;302
Čepikuće;Dubrovačko primorje;Dubrovačko-neretvanska županija;35
Čepin;Čepin;Osječko-baranjska županija;8001
Čepinski Martinci;Čepin;Osječko-baranjska županija;524
Čepić – Ceppich;Oprtalj – Portole;Istarska županija;52
Čepljani – Ceppiani;Umag – Umago;Istarska županija;210
Červar – Cervera;Poreč – Parenzo;Istarska županija;97
Červar-Porat;Poreč – Parenzo;Istarska županija;381
Červari;Kanfanar;Istarska županija;28
Čestijanec;Sveti Martin na Muri;Međimurska županija;91
Česvinica;Ston;Dubrovačko-neretvanska županija;41
Četekovac;Mikleuš;Virovitičko-podravska županija;180
Četvrtkovac;Sunja;Sisačko-moslavačka županija;139
Čečavac;Brestovac;Požeško-slavonska županija;2
Čečavački Vučjak;Brestovac;Požeško-slavonska županija;20
Češljakovci;Kaptol;Požeško-slavonska županija;225
Čibača;Župa dubrovačka;Dubrovačko-neretvanska županija;2039
Čigoč;Sisak;Sisačko-moslavačka županija;53
Čilipi;Konavle;Dubrovačko-neretvanska županija;970
Čingi-Lingi;Molve;Koprivničko-križevačka županija;19
Čiritež;Buzet;Istarska županija;45
Čisla;Omiš;Splitsko-dalmatinska županija;310
Čista Mala;Vodice;Šibensko-kninska županija;132
Čista Mlaka;Rugvica;Zagrebačka županija;573
Čista Velika;Vodice;Šibensko-kninska županija;405
Čitluk;Promina;Šibensko-kninska županija;104
Čitluk;Sinj;Splitsko-dalmatinska županija;462
Čičkovina;Martijanec;Varaždinska županija;169
Čižići;Dobrinj;Primorsko-goranska županija;133
Čojlug;Mikleuš;Virovitičko-podravska županija;14
Čokadinci;Čepin;Osječko-baranjska županija;129
Čovac;Okučani;Brodsko-posavska županija;74
Čovići;Otočac;Ličko-senjska županija;520
Čremušnica;Gvozd;Sisačko-moslavačka županija;72
Čret;Krapinske Toplice;Krapinsko-zagorska županija;472
Čret Bisaški;Breznica;Varaždinska županija;18
Čret Posavski;Orle;Zagrebačka županija;103
Črečan;Nedelišće;Međimurska županija;382
Črečan;Sveti Ivan Zelina;Zagrebačka županija;136
Črešnjevec;Tuhelj;Krapinsko-zagorska županija;264
Črešnjevo;Beretinec;Varaždinska županija;707
Črnec Biškupečki;Varaždin;Varaždinska županija;612
Črnec Dugoselski;Rugvica;Zagrebačka županija;165
Črnec Rugvički;Rugvica;Zagrebačka županija;99
Črnica;Buzet;Istarska županija;34
Črnile;Varaždinske Toplice;Varaždinska županija;133
Črnilovec;Jastrebarsko;Zagrebačka županija;98
Črnkovci;Marijanci;Osječko-baranjska županija;634
Črnkovec;Velika Gorica;Zagrebačka županija;339
Črnčevec;Sveti Petar Orehovec;Koprivničko-križevačka županija;134
Čujića Krčevina;Plitvička Jezera;Ličko-senjska županija;6
Čuki;Vižinada – Visinada;Istarska županija;6
Čukovec;Ludbreg;Varaždinska županija;263
Čukovec;Prelog;Međimurska županija;257
Čukur;Hrvatska Kostajnica;Sisačko-moslavačka županija;66
Čunkova Draga;Krašić;Zagrebačka županija;15
Čuntić;Petrinja;Sisačko-moslavačka županija;16
Čurilovec;Varaždinske Toplice;Varaždinska županija;111
Čučak;Brod Moravice;Primorsko-goranska županija;5
Čučići;Krašić;Zagrebačka županija;1
Čuši – Ciussi;Poreč – Parenzo;Istarska županija;27
Čvrljevo;Unešić;Šibensko-kninska županija;42
Čvrljevo;Šibenik;Šibensko-kninska županija;51
Đakovo;Đakovo;Osječko-baranjska županija;16875
Đelekovec;Đelekovec;Koprivničko-križevačka županija;990
Đeletovci;Nijemci;Vukovarsko-srijemska županija;419
Đevrske;Kistanje;Šibensko-kninska županija;175
Đivan;Vrbovec;Zagrebačka županija;29
Đuba – Giubba;Umag – Umago;Istarska županija;128
Đulovac;Đulovac;Bjelovarsko-bilogorska županija;801
Đurin Potok;Cetingrad;Karlovačka županija;15
Đurinići;Konavle;Dubrovačko-neretvanska županija;61
Đurinovec;Visoko;Varaždinska županija;117
Đurići;Drenovci;Vukovarsko-srijemska županija;206
Đuričić;Voćin;Virovitičko-podravska županija;0
Đurmanec;Đurmanec;Krapinsko-zagorska županija;786
Đurđanci;Đakovo;Osječko-baranjska županija;370
Đurđekovec;;Grad Zagreb;690
Đurđenovac;Đurđenovac;Osječko-baranjska županija;2318
Đurđevac;Đurđevac;Koprivničko-križevačka županija;5834
Đurđic;Ivanska;Bjelovarsko-bilogorska županija;156
Đurđic;Križevci;Koprivničko-križevačka županija;243
Šag;Valpovo;Osječko-baranjska županija;426
Šagovina Mašićka;Okučani;Brodsko-posavska županija;5
Šagudovec;Gornja Stubica;Krapinsko-zagorska županija;149
Šajini;Barban;Istarska županija;175
Šakanlije;Dvor;Sisačko-moslavačka županija;12
Šalamunić;Udbina;Ličko-senjska županija;24
Šalamunovec;Sveti Petar Orehovec;Koprivničko-križevačka županija;45
Šalovec;Sveti Ivan Zelina;Zagrebačka županija;156
Šandorovec;Čakovec;Međimurska županija;305
Šandrovac;Šandrovac;Bjelovarsko-bilogorska županija;623
Šapjane;Matulji;Primorsko-goranska županija;167
Šaptinovci;Đurđenovac;Osječko-baranjska županija;421
Šarengrad;Ilok;Vukovarsko-srijemska županija;362
Šarić Struga;Ploče;Dubrovačko-neretvanska županija;194
Šarići;Marčana;Istarska županija;93
Šartovac;Kutina;Sisačko-moslavačka županija;318
Šatornja;Glina;Sisačko-moslavačka županija;144
Šaš;Sunja;Sisačko-moslavačka županija;168
Šaša;Bednja;Varaždinska županija;86
Šaševa;Glina;Sisačko-moslavačka županija;17
Šaševo;Čađavica;Virovitičko-podravska županija;91
Šašinovec;;Grad Zagreb;772
Šebreki;Karlovac;Karlovačka županija;0
Šeganovac;Plitvička Jezera;Ličko-senjska županija;7
Šegestin;Dvor;Sisačko-moslavačka županija;7
Šegotići;Marčana;Istarska županija;86
Šeketino Brdo;Duga Resa;Karlovačka županija;158
Šelovec;Preseka;Zagrebačka županija;155
Šemovci;Virje;Koprivničko-križevačka županija;402
Šemovec;Trnovec Bartolovečki;Varaždinska županija;825
Šemovec Breški;Ivanić-Grad;Zagrebačka županija;70
Šenkovec;Brdovec;Zagrebačka županija;664
Šenkovec;Šenkovec;Međimurska županija;2336
Šeovci;Požega;Požeško-slavonska županija;102
Šeovica;Lipik;Požeško-slavonska županija;217
Šepci Podstenski;Brod Moravice;Primorsko-goranska županija;4
Šeraje – Seraie;Poreč – Parenzo;Istarska županija;2
Šestak Brdo;Pokupsko;Zagrebačka županija;66
Šestanovac;Šestanovac;Splitsko-dalmatinska županija;371
Ševalj;Delnice;Primorsko-goranska županija;1
Šećerana;Beli Manastir;Osječko-baranjska županija;461
Šibenik;Šibenik;Šibensko-kninska županija;31115
Šibice;Zaprešić;Zagrebačka županija;759
Šibine;Glina;Sisačko-moslavačka županija;15
Šibovac;Sirač;Bjelovarsko-bilogorska županija;182
Šijanec;Vidovec;Varaždinska županija;183
Šije;Ravna Gora;Primorsko-goranska županija;15
Šiljakovina;Velika Gorica;Zagrebačka županija;654
Šilješki;Konavle;Dubrovačko-neretvanska županija;12
Šiljki;Ozalj;Karlovačka županija;5
Šiljkovača;Cetingrad;Karlovačka županija;62
Šilo;Dobrinj;Primorsko-goranska županija;418
Šimatovo;Brod Moravice;Primorsko-goranska županija;1
Šimljana;Berek;Bjelovarsko-bilogorska županija;71
Šimljanica;Berek;Bjelovarsko-bilogorska županija;84
Šimljanik;Berek;Bjelovarsko-bilogorska županija;25
Šimraki;Samobor;Zagrebačka županija;5
Šimunci;Desinić;Krapinsko-zagorska županija;78
Šimuni;Pag;Zadarska županija;164
Šimunčevec;;Grad Zagreb;298
Šinkovica Bednjanska;Bednja;Varaždinska županija;87
Šinkovica Šaška;Bednja;Varaždinska županija;94
Šipanska Luka;Dubrovnik;Dubrovačko-neretvanska županija;254
Šipački Breg;Samobor;Zagrebačka županija;33
Šipki;Lobor;Krapinsko-zagorska županija;105
Šiptari;Kapela;Bjelovarsko-bilogorska županija;69
Širinci;Okučani;Brodsko-posavska županija;0
Širine;Petlovac;Osječko-baranjska županija;26
Širinec;Križ;Zagrebačka županija;222
Širitovci;Drniš;Šibensko-kninska županija;127
Široka Kula;Gospić;Ličko-senjska županija;78
Široka Rijeka;Vojnić;Karlovačka županija;100
Široke;Primošten;Šibensko-kninska županija;125
Široko Polje;Đakovo;Osječko-baranjska županija;799
Široko Selo;Sokolovac;Koprivničko-križevačka županija;33
Šivati;Žminj;Istarska županija;68
Šišan;Ližnjan – Lisignano;Istarska županija;1007
Šišinec;Lekenik;Sisačko-moslavačka županija;55
Šiškovci;Cerna;Vukovarsko-srijemska županija;693
Šišljavić;Karlovac;Karlovačka županija;358
Škabrnja;Škabrnja;Zadarska županija;1320
Škalić Zagorski;Desinić;Krapinsko-zagorska županija;11
Škaljevica;Ozalj;Karlovačka županija;68
Škalnica;Klana;Primorsko-goranska županija;236
Škare;Otočac;Ličko-senjska županija;36
Škarićevo;Krapina;Krapinsko-zagorska županija;593
Škarnik;Varaždinske Toplice;Varaždinska županija;66
Škodinovac;Đulovac;Bjelovarsko-bilogorska županija;34
Škopljak;Gračišće;Istarska županija;45
Škrabutnik;Požega;Požeško-slavonska županija;11
Škriljevec;Ivanec;Varaždinska županija;226
Škrinjari;Sveti Ivan Žabno;Koprivničko-križevačka županija;182
Škrip;Supetar;Splitsko-dalmatinska županija;157
Škrljevo;Bakar;Primorsko-goranska županija;1158
Škropeti;Karojba;Istarska županija;431
Škuljari;Buzet;Istarska županija;52
Šlivnjak;Slunj;Karlovačka županija;12
Šljivovac;Gvozd;Sisačko-moslavačka županija;6
Šljivoševci;Magadenovac;Osječko-baranjska županija;276
Šmrika;Kraljevica;Primorsko-goranska županija;963
Šnjegavić;Brestovac;Požeško-slavonska županija;15
Šodolovci;Šodolovci;Osječko-baranjska županija;267
Šopot;Benkovac;Zadarska županija;323
Šopron;Kalnik;Koprivničko-križevačka županija;154
Šorgi – Sorghi;Oprtalj – Portole;Istarska županija;34
Šorići;Kanfanar;Istarska županija;85
Španat;Sopje;Virovitičko-podravska županija;155
Španovica;Pakrac;Požeško-slavonska županija;14
Špehari;Bosiljevo;Karlovačka županija;1
Špigelski Breg;Jastrebarsko;Zagrebačka županija;0
Špiranec;Križevci;Koprivničko-križevačka županija;105
Špičkovina;Zabok;Krapinsko-zagorska županija;741
Špišić Bukovica;Špišić Bukovica;Virovitičko-podravska županija;1346
Štaglinec;Koprivnica;Koprivničko-križevačka županija;453
Štakorovec;Brckovljani;Zagrebačka županija;298
Štakorovica;Vojnić;Karlovačka županija;21
Štedrica;Dubrovačko primorje;Dubrovačko-neretvanska županija;55
Štefanci;Vrbovsko;Primorsko-goranska županija;2
Štefanec;Trnovec Bartolovečki;Varaždinska županija;360
Štefanec;Čakovec;Međimurska županija;684
Štefanje;Štefanje;Bjelovarsko-bilogorska županija;300
Šterna – Sterna;Grožnjan – Grisignana;Istarska županija;70
Štifanići – Stifanici;Poreč – Parenzo;Istarska županija;60
Štikada;Lovinac;Ličko-senjska županija;197
Štikovo;Drniš;Šibensko-kninska županija;31
Štirkovac;Barilović;Karlovačka županija;1
Štitar;Štitar;Vukovarsko-srijemska županija;1552
Štitnjak;Požega;Požeško-slavonska županija;44
Štivica;Staro Petrovo Selo;Brodsko-posavska županija;421
Štokovci;Svetvinčenat;Istarska županija;142
Štrigova;Štrigova;Međimurska županija;436
Štrigovec;Gornja Rijeka;Koprivničko-križevačka županija;24
Štrmac;Sveta Nedelja;Istarska županija;396
Štrped;Buzet;Istarska županija;222
Štrucljevo;Sveti Križ Začretje;Krapinsko-zagorska županija;321
Štrukovec;Mursko Središće;Međimurska županija;325
Štuparje;Petrovsko;Krapinsko-zagorska županija;362
Štuti;Višnjan – Visignano;Istarska županija;20
Šulinec;Sveti Ivan Zelina;Zagrebačka županija;234
Šumanovci;Kutjevo;Požeško-slavonska županija;116
Šumarina;Beli Manastir;Osječko-baranjska županija;421
Šumber;Sveta Nedelja;Istarska županija;358
Šumet;Dubrovnik;Dubrovačko-neretvanska županija;168
Šumet;Proložac;Splitsko-dalmatinska županija;304
Šumetlica;Cernik;Brodsko-posavska županija;177
Šumećani;Ivanić-Grad;Zagrebačka županija;389
Šumeće;Bebrina;Brodsko-posavska županija;529
Šumeđe;Orahovica;Virovitičko-podravska županija;26
Šuplja Lipa;Končanica;Bjelovarsko-bilogorska županija;129
Šurdovec;Sveti Ivan Zelina;Zagrebačka županija;23
Šušelj Brijeg;Krapina;Krapinsko-zagorska županija;0
Šušnjari;Brestovac;Požeško-slavonska županija;1
Šušnjari;Križ;Zagrebačka županija;102
Šušnjevci;Bukovlje;Brodsko-posavska županija;207
Šušnjevica;Kršan;Istarska županija;74
Šušnjići – Susnici;Poreč – Parenzo;Istarska županija;26
Švajcarnica;Darda;Osječko-baranjska županija;128
Švaljkovec;Sveti Križ Začretje;Krapinsko-zagorska županija;313
Švica;Otočac;Ličko-senjska županija;311
Švrakarica;Dvor;Sisačko-moslavačka županija;23
Šćepanje;Breznički Hum;Varaždinska županija;266
Šćitarjevo;Velika Gorica;Zagrebačka županija;573
Šćrbinec;Zlatar;Krapinsko-zagorska županija;9
Šćulac;Barilović;Karlovačka županija;136
Šćulci;Buzet;Istarska županija;36
Ščapovec;Kloštar Ivanić;Zagrebačka županija;144
Žabica;Gospić;Ličko-senjska županija;189
Žabjak;Rovišće;Bjelovarsko-bilogorska županija;300
Žabljak;Barilović;Karlovačka županija;37
Žabnica;Farkaševac;Zagrebačka županija;130
Žabnik;Sveti Martin na Muri;Međimurska županija;365
Žabnik;Trnovec Bartolovečki;Varaždinska županija;162
Žabnjak;Preseka;Zagrebačka županija;44
Žabnjača;Crnac;Virovitičko-podravska županija;9
Žabno;Sisak;Sisačko-moslavačka županija;414
Žaborić;Šibenik;Šibensko-kninska županija;552
Žagrići;Žminj;Istarska županija;35
Žagrović;Knin;Šibensko-kninska županija;509
Žakanje;Žakanje;Karlovačka županija;142
Žakule;Vrbovsko;Primorsko-goranska županija;8
Žamarija;Žumberak;Zagrebačka županija;14
Žarovnica;Lepoglava;Varaždinska županija;743
Žažina;Lekenik;Sisačko-moslavačka županija;275
Žažvić;Skradin;Šibensko-kninska županija;29
Žbandaj;Poreč – Parenzo;Istarska županija;538
Ždala;Gola;Koprivničko-križevačka županija;461
Ždralovi;Bjelovar;Bjelovarsko-bilogorska županija;1311
Ždrapanj;Skradin;Šibensko-kninska županija;21
Ždrelac;Pašman;Zadarska županija;397
Ždrilo;Posedarje;Zadarska županija;93
Žedno;Trogir;Splitsko-dalmatinska županija;152
Žejane;Matulji;Primorsko-goranska županija;105
Žejinci;Luka;Zagrebačka županija;354
Železna Gora;Štrigova;Međimurska županija;379
Želiski;Barban;Istarska županija;155
Željava;Plitvička Jezera;Ličko-senjska županija;22
Željeznica;Ivanec;Varaždinska županija;94
Željezno Žumberačko;Žumberak;Zagrebačka županija;27
Žena Glava;Komiža;Splitsko-dalmatinska županija;37
Ženodraga;Višnjan – Visignano;Istarska županija;22
Žerava;Nin;Zadarska županija;192
Žerjavinec;;Grad Zagreb;526
Žestilac;Dobrinj;Primorsko-goranska županija;11
Žeževica;Šestanovac;Splitsko-dalmatinska županija;306
Žgaljići;Krk;Primorsko-goranska županija;70
Žgombići;Malinska-Dubašnica;Primorsko-goranska županija;72
Žibrinovec;Križevci;Koprivničko-križevačka županija;112
Židovinjak;Bedekovčina;Krapinsko-zagorska županija;189
Žigerovci;Brestovac;Požeško-slavonska županija;7
Žigrovec;Sveti Ilija;Varaždinska županija;222
Žikovići;Višnjan – Visignano;Istarska županija;12
Žirje;Šibenik;Šibensko-kninska županija;147
Žiroslavlje;Suhopolje;Virovitičko-podravska županija;50
Žirčica;Martinska Ves;Sisačko-moslavačka županija;108
Žitarka;Sveta Nedelja;Zagrebačka županija;262
Žitkovčica;Kravarsko;Zagrebačka županija;50
Žitnić;Drniš;Šibensko-kninska županija;114
Žitomir;Sveti Ivan Zelina;Zagrebačka županija;158
Živaja;Hrvatska Dubica;Sisačko-moslavačka županija;179
Živike;Oriovac;Brodsko-posavska županija;189
Živković Kosa;Vojnić;Karlovačka županija;84
Živogošće;Podgora;Splitsko-dalmatinska županija;416
Žiškovec;Čakovec;Međimurska županija;470
Žlebec Gorički;Marija Gorica;Zagrebačka županija;62
Žlebec Pušćanski;Pušća;Zagrebačka županija;111
Žlebina;Gradina;Virovitičko-podravska županija;214
Žman;Sali;Zadarska županija;225
Žminj;Žminj;Istarska županija;826
Žnjidarići – Snidarici;Oprtalj – Portole;Istarska županija;42
Žreme;Sunja;Sisačko-moslavačka županija;41
Žrnovac;Skrad;Primorsko-goranska županija;12
Žrnovnica;Split;Splitsko-dalmatinska županija;3279
Žrnovo;Korčula;Dubrovačko-neretvanska županija;1401
Žuberkovac;Okučani;Brodsko-posavska županija;1
Žubrica;Suhopolje;Virovitičko-podravska županija;66
Žubrinci;Bosiljevo;Karlovačka županija;27
Žudetići;Vižinada – Visinada;Istarska županija;9
Žukovec;Dubrava;Zagrebačka županija;120
Žuljana;Ston;Dubrovačko-neretvanska županija;275
Žumberak;Žumberak;Zagrebačka županija;9
Žunci;Vrbovec;Zagrebačka županija;125
Žuntići;Kanfanar;Istarska županija;25
Župa;Zagvozd;Splitsko-dalmatinska županija;37
Župa Srednja;Zagvozd;Splitsko-dalmatinska županija;3
Županec;Mali Bukovec;Varaždinska županija;168
Županići;Sveta Nedelja;Istarska županija;136
Županja;Županja;Vukovarsko-srijemska županija;9153
Županje;Dobrinj;Primorsko-goranska županija;26
Župić;Petrinja;Sisačko-moslavačka županija;74
Žuta Lokva;Brinje;Ličko-senjska županija;16
Žutnica;Krapina;Krapinsko-zagorska županija;221
Žužići;Tinjan;Istarska županija;123
